"Job_Number","Account_Code","Customer_Name","Job_Type","Del_Type","Work_Type","OrderNo","Ref2","Ref3","Goods","Quantity","Weight","Distance","Volume","Collection_Add_1","Collection_Add_2","Collection_Add_3","Collection_Add_4","Collection_Add_5","Collection_PostCode","Collection_Date","Collection_Time","Delivery_Add_1","Delivery_Add_2","Delivery_Add_3","Delivery_Add_4","Delivery_Add_5","Delivery_PostCode","Delivery_Date","Delivery_Time","Notes","Instructions","Job_Rate","ColZone","DelZone"
"112001","C/85","CTL EUROPE","HSU",,"GEN",,,"04/01/2017C/8512","Bales Paper","0","27000","244","0","Enava Ltd","Tripple Crown House","Llandow","Cardiff",,"CF71 7PB","27/01/2025","07:00-12:00","Palm Paper Ltd","Poplar Ave","Saddlebow Ind Estate","Kings Lynn",,"PE34 3AL","27/01/2025","15:00-22:00","Artic Taut",,"0","SWA","EAN"
"112002","C/85","CTL EUROPE","HSU",,"GEN",,,"04/01/2017C/8513","Bales Paper","0","27000","244","0","Enava Ltd","Tripple Crown House","Llandow","Cardiff",,"CF71 7PB","27/01/2025","07:00-12:00","Palm Paper Ltd","Poplar Ave","Saddlebow Ind Estate","Kings Lynn",,"PE34 3AL","27/01/2025","15:00-22:00","Artic Taut",,"0","SWA","EAN"
"112004","C/85","CTL EUROPE","HSU",,"GEN",,,"04/01/2017C/8515","Bales Paper","0","27000","244","0","Enava Ltd","Tripple Crown House","Llandow","Cardiff",,"CF71 7PB","28/01/2025","07:00-12:00","Palm Paper Ltd","Poplar Ave","Saddlebow Ind Estate","Kings Lynn",,"PE34 3AL","28/01/2025","15:00-22:00","Artic Taut",,"0","SWA","EAN"
"112005","C/85","CTL EUROPE","HSU",,"GEN",,,"04/01/2017C/8516","Bales Paper","0","27000","244","0","Enava Ltd","Tripple Crown House","Llandow","Cardiff",,"CF71 7PB","29/01/2025","07:00-12:00","Palm Paper Ltd","Poplar Ave","Saddlebow Ind Estate","Kings Lynn",,"PE34 3AL","29/01/2025","15:00-22:00","Artic Taut",,"0","SWA","EAN"
"112006","C/85","CTL EUROPE","HSU",,"GEN",,,"04/01/2017C/8517","Bales Paper","0","27000","244","0","Enava Ltd","Tripple Crown House","Llandow","Cardiff",,"CF71 7PB","29/01/2025","07:00-12:00","Palm Paper Ltd","Poplar Ave","Saddlebow Ind Estate","Kings Lynn",,"PE34 3AL","29/01/2025","15:00-22:00","Artic Taut",,"0","SWA","EAN"
"112008","C/85","CTL EUROPE","HSU",,"GEN",,,"04/01/2017C/8519","Bales Paper","0","27000","244","0","Enava Ltd","Tripple Crown House","Llandow","Cardiff",,"CF71 7PB","30/01/2025","07:00-12:00","Palm Paper Ltd","Poplar Ave","Saddlebow Ind Estate","Kings Lynn",,"PE34 3AL","30/01/2025","15:00-22:00","Artic Taut",,"0","SWA","EAN"
"112009","C/85","CTL EUROPE","HSU",,"GEN",,,"04/01/2017C/8520","Bales Paper","0","27000","244","0","Enava Ltd","Tripple Crown House","Llandow","Cardiff",,"CF71 7PB","31/01/2025","07:00-12:00","Palm Paper Ltd","Poplar Ave","Saddlebow Ind Estate","Kings Lynn",,"PE34 3AL","31/01/2025","15:00-22:00","Artic Taut",,"0","SWA","EAN"
"112010","C/85","CTL EUROPE","HSU",,"GEN",,,"04/01/2017C/8521","Bales Paper","0","27000","244","0","Enava Ltd","Tripple Crown House","Llandow","Cardiff",,"CF71 7PB","31/01/2025","07:00-12:00","Palm Paper Ltd","Poplar Ave","Saddlebow Ind Estate","Kings Lynn",,"PE34 3AL","31/01/2025","15:00-22:00","Artic Taut",,"0","SWA","EAN"
"112028","C/85","CTL EUROPE","HSU",,"GEN",,,"04/01/2017C/854","Bales Paper","0","27000","244","0","Enava Ltd","Tripple Crown House","Llandow","Cardiff",,"CF71 7PB","21/01/2025","07:00-12:00","Palm Paper Ltd","Poplar Ave","Saddlebow Ind Estate","Kings Lynn",,"PE34 3AL","21/01/2025","15:00-22:00","Artic Taut",,"425","SWA","EAN"
"112098","B/69","BBS Brick & Stone Ltd","HSU",,"GEN","W86716 A&B",,,"Bricks","0","0","215","0","BBS Brick & Stone ltd","Sandy Hill Lane",,"Ipswich",,"IP3 0ET","21/01/2025","07:30-15:30","Balfour Beatty Group","Project CRMCS076/CRMCS048","2 VALLEY Rd, opp Travelodge","Bradford",,"BD1 4AF","22/01/2025","08:00-12:00",,,"400","EAN","Y/H"
